applicant_id,age,gender,education,employment_status,annual_income,monthly_expenses,existing_debts,loan_amount,loan_term,credit_score,debt_to_income_ratio,loan_to_income_ratio,approval_score,loan_approved,application_date
APP00023,35.0,Female,Master,Employed,123635.375,5619.75,4686.0,21980.0,60,691.0,0.067,0.1621,82.13,1,2023-01-01
APP00024,21.0,Female,Bachelor,Part-Time,27980.0,734.0,2083.0,27161.0,36,617.0,0.398,0.9707,40.17,0,2023-01-01
APP00025,29.0,Male,Master,Employed,35002.0,1818.0,13798.0,12225.0,12,639.0,0.7435,0.3493,45.61,0,2023-01-02
APP00026,36.0,Male,Bachelor,Employed,81517.0,4194.0,1614.0,43709.0,48,564.0,0.1538,0.5362,62.55,1,2023-01-02
APP00027,23.0,Male,Master,Part-Time,58975.0,1828.0,2591.0,8293.0,36,672.0,0.0908,0.1406,66.24,1,2023-01-02
APP00028,38.0,Male,Bachelor,Employed,51638.0,2041.0,2355.0,24905.0,60,491.0,0.1421,0.4823,50.31,1,2023-01-02
APP00029,28.0,Male,Associate,Employed,115249.0,5619.75,14627.0,26574.0,36,756.0,0.2038,0.2306,91.11,1,2023-01-02
APP00030,32.0,Female,Master,Employed,96100.0,2958.0,7623.0,18980.0,60,554.0,0.1188,0.1975,62.44,1,2023-01-02
APP00031,28.0,Male,Bachelor,Self-Employed,75859.0,4591.0,947.0,6596.0,240,665.0,0.0168,0.087,76.66,1,2023-01-02
APP00032,53.0,Male,PhD,Employed,49206.0,1286.0,7322.0,6557.0,120,682.0,0.1621,0.1333,78.89,1,2023-01-02
APP00033,34.0,Male,Associate,Employed,57021.0,1669.0,892.0,14810.0,180,766.0,0.033,0.2597,84.86,1,2023-01-02
APP00034,24.0,Female,PhD,Employed,81949.0,2445.0,11462.0,41408.0,180,481.0,0.1736,0.5053,55.02,1,2023-01-02
APP00035,43.0,Female,PhD,Self-Employed,104892.0,4930.0,11127.0,33898.0,60,617.0,0.1707,0.3232,68.85,1,2023-01-02
APP00036,22.0,Male,Associate,Unemployed,5917.0,300.0,604.0,26551.0,120,704.0,0.5508,4.4872,27.64,0,2023-01-02
APP00037,37.0,Female,Master,Employed,67942.0,2841.0,712.0,13257.0,120,825.0,0.03,0.1951,89.98,1,2023-01-02
APP00038,21.0,Female,Bachelor,Employed,32583.0,1206.0,4982.0,35344.0,36,646.0,0.5145,1.0847,44.28,0,2023-01-02
APP00039,21.0,Male,Master,Employed,21781.0,1279.0,1844.0,6379.0,180,590.0,0.1042,0.2929,63.65,1,2023-01-02
APP00040,36.0,Male,Bachelor,Employed,80753.0,2248.0,6413.0,5000.0,60,850.0,0.0918,0.0619,90.45,1,2023-01-02
APP00041,42.0,Female,Master,Employed,30066.0,1102.0,4092.0,22148.0,12,730.0,0.8727,0.7366,53.08,1,2023-01-02
APP00042,36.0,Female,Bachelor,Employed,51719.0,1377.0,7230.0,17381.0,120,787.0,0.1734,0.3361,86.08,1,2023-01-02
APP00043,33.0,Female,Associate,Self-Employed,54138.0,1384.0,123.0,60508.0,120,529.0,0.114,1.1177,58.29,1,2023-01-02
APP00044,31.0,Female,High School,Retired,24240.0,962.0,486.0,30527.0,84,702.0,0.2,1.2594,65.13,1,2023-01-02
APP00045,21.0,Female,Bachelor,Employed,42551.0,1409.0,1722.0,94053.25,36,541.0,0.8299,2.3682,33.92,0,2023-01-02
APP00046,27.0,Male,Master,Self-Employed,80280.0,2904.0,13645.0,17351.0,60,519.0,0.2132,0.2161,50.93,1,2023-01-02
APP00047,30.0,Male,Bachelor,Self-Employed,68240.0,4040.0,8800.0,39712.0,60,708.0,0.2453,0.5819,73.16,1,2023-01-02
APP00048,45.0,Male,Bachelor,Self-Employed,77869.0,2475.0,16554.0,21986.0,246,715.0,0.222,0.2823,78.88,1,2023-01-02
APP00049,38.0,Male,Associate,Part-Time,49565.0,2850.0,10032.0,81257.0,180,601.0,0.3117,1.6394,52.12,1,2023-01-03
APP00050,21.0,Female,Bachelor,Employed,55110.0,2927.0,15859.0,22851.0,120,793.0,0.3292,0.4146,83.92,1,2023-01-03
APP00051,38.0,Female,High School,Employed,35431.0,1367.0,2513.0,53291.0,36,613.0,0.5723,1.5041,36.32,0,2023-01-03
APP00052,31.0,Female,Master,Self-Employed,44547.0,2128.0,2827.0,11360.0,48,623.0,0.1272,0.255,58.89,1,2023-01-03
APP00053,28.0,Male,PhD,Employed,91439.0,3979.0,20325.5,19299.0,60,646.0,0.3089,0.2111,70.52,1,2023-01-03
APP00054,41.0,Female,Bachelor,Employed,68438.0,2077.0,2784.0,25153.0,60,625.0,0.1142,0.3675,71.24,1,2023-01-03
APP00055,45.0,Male,High School,Employed,31168.0,1957.0,2890.0,73919.0,12,777.0,2.4644,2.3716,51.21,1,2023-01-03
APP00056,44.0,Male,High School,Employed,45054.0,2195.0,1460.0,5000.0,84,545.0,0.0483,0.111,51.98,1,2023-01-03
APP00057,26.0,Female,Bachelor,Self-Employed,46585.0,2873.0,17130.0,20617.0,60,574.0,0.4562,0.4426,39.47,0,2023-01-03
APP00058,31.0,Female,Bachelor,Employed,68562.0,4067.0,5388.0,20066.0,84,530.0,0.1204,0.2927,57.31,1,2023-01-03
APP00059,38.0,Other,Master,Employed,100575.0,2848.0,3603.0,5107.0,12,838.0,0.0866,0.0508,110.32,1,2023-01-03
APP00060,44.0,Male,Associate,Employed,65303.0,2196.0,11536.0,18560.0,48,,0.2477,0.2842,65.78,1,2023-01-03
APP00061,30.0,Male,Master,Employed,67594.0,2098.0,2844.0,7843.0,120,573.0,0.0537,0.116,64.71,1,2023-01-03
APP00062,33.0,Male,Bachelor,Retired,17486.0,1042.0,7537.0,5000.0,84,621.0,0.4719,0.2859,29.74,0,2023-01-03
APP00063,23.0,Male,Associate,Employed,30684.0,1869.0,2109.0,21810.0,180,734.0,0.1161,0.7108,79.94,1,2023-01-03
APP00064,23.0,Female,Bachelor,Retired,39606.0,1861.0,6490.0,21228.0,120,716.0,0.2175,0.536,63.94,1,2023-01-03
APP00065,43.0,Female,High School,Self-Employed,123635.375,3767.0,8157.0,22115.0,180,592.0,0.075,0.1722,57.15,1,2023-01-03
APP00066,48.0,Female,Bachelor,Unemployed,8268.0,253.0,2041.0,32934.0,12,610.0,4.2302,3.9833,25.26,0,2023-01-03
APP00067,34.0,Male,Master,Employed,80040.0,4714.0,20325.5,13312.0,48,,0.3824,0.1663,49.64,0,2023-01-03
APP00068,45.0,Female,Bachelor,Employed,37122.0,2365.0,8635.0,94053.25,84,663.0,0.6664,3.0365,45.68,0,2023-01-03
APP00069,38.0,Male,Master,Part-Time,19579.0,652.0,5542.0,26196.0,240,778.0,0.35,1.338,66.2,1,2023-01-03
APP00070,28.0,Female,Bachelor,Part-Time,17477.0,445.0,281.0,75293.0,120,591.0,0.4469,4.3081,31.3,0,2023-01-03
APP00071,38.0,Male,High School,Employed,12113.0,469.0,4683.0,7016.0,60,713.0,0.5025,0.5792,52.9,1,2023-01-03
APP00072,50.0,Male,Bachelor,Employed,96443.0,2533.0,14162.0,13799.0,36,591.0,0.1945,0.1431,71.41,1,2023-01-03
APP00073,34.0,Male,Bachelor,Employed,16073.0,956.0,4904.0,46585.0,60,,0.8848,2.8983,21.31,0,2023-01-04
APP00074,50.0,Female,Bachelor,Part-Time,21481.0,976.0,3716.0,22443.0,60,718.0,0.3819,1.0448,45.76,0,2023-01-04
APP00075,21.0,Male,High School,Employed,19039.0,985.0,643.0,11401.0,180,850.0,0.0737,0.5988,75.67,1,2023-01-04
APP00076,43.0,Male,Bachelor,Self-Employed,34652.0,1460.0,4888.0,6180.0,60,704.0,0.1767,0.1783,71.91,1,2023-01-04
APP00077,35.0,Female,High School,Unemployed,13658.0,538.0,195.0,48366.0,48,608.0,0.8996,3.5412,13.92,0,2023-01-04
APP00078,32.0,Male,High School,Unemployed,7588.0,259.0,1354.0,45309.0,24,615.0,3.164,5.9711,16.61,0,2023-01-04
APP00079,35.0,Male,Bachelor,Self-Employed,33276.0,1900.0,2625.0,32684.0,12,840.0,1.0611,0.9822,68.33,1,2023-01-04
APP00080,21.0,Male,Associate,Employed,31030.0,1675.0,765.0,18092.0,60,680.0,0.1413,0.583,65.74,1,2023-01-04
APP00081,32.0,Male,PhD,Retired,30088.0,1204.0,17485.0,11042.0,48,573.0,0.6729,0.367,15.95,0,2023-01-04
APP00082,38.0,Female,Bachelor,Self-Employed,52761.0,2024.0,18309.0,25786.0,84,643.0,0.4168,0.4887,48.81,0,2023-01-04
APP00083,49.0,Female,Master,Unemployed,13896.0,348.0,4669.0,9393.0,120,671.0,0.4036,0.6759,41.75,0,2023-01-04
APP00084,29.0,Male,Bachelor,Employed,123635.375,3496.0,20325.5,14746.0,12,696.0,0.3498,0.1166,71.15,1,2023-01-04
APP00085,26.0,Other,Master,Self-Employed,26890.0,1370.0,4749.0,73791.0,60,801.0,0.7254,2.7442,60.17,1,2023-01-04
APP00086,29.0,Male,Associate,Employed,40948.0,1901.0,6538.0,6120.0,180,777.0,0.1696,0.1495,87.69,1,2023-01-04
APP00087,44.0,Male,PhD,Employed,62798.0,2707.0,1056.0,46259.0,60,669.0,0.1641,0.7366,83.3,1,2023-01-04
APP00088,38.0,Male,Bachelor,Unemployed,15738.0,936.0,5449.0,88907.0,84,645.0,1.1533,5.6492,21.96,0,2023-01-04
APP00089,29.0,Male,Master,Self-Employed,83707.0,3850.0,20325.5,51689.0,60,689.0,0.4429,0.6175,63.59,1,2023-01-04
APP00090,40.0,Male,Bachelor,Self-Employed,72438.0,2971.0,14970.0,36996.0,60,589.0,0.3088,0.5107,57.74,1,2023-01-04
APP00091,35.0,Female,High School,Employed,40776.0,1293.0,16034.0,18567.0,24,748.0,0.6209,0.4553,44.01,0,2023-01-04
APP00092,44.0,Female,Bachelor,Self-Employed,33837.0,2002.0,4087.0,16047.0,24,629.0,0.3579,0.4742,41.19,0,2023-01-04
APP00093,27.0,Male,High School,Employed,62878.0,3081.0,5598.0,5000.0,36,699.0,0.1155,0.0795,72.29,1,2023-01-04
APP00094,31.0,Female,Bachelor,Self-Employed,80383.0,2319.0,20325.5,27711.0,180,821.0,0.539,0.3447,64.97,1,2023-01-04
APP00095,31.0,Female,High School,Employed,54235.0,2822.0,5075.0,19500.0,48,705.0,0.1835,0.3595,78.03,1,2023-01-04
APP00096,21.0,Female,Bachelor,Unemployed,18445.0,787.0,2836.0,15391.0,240,673.0,0.1955,0.8344,49.28,0,2023-01-04
APP00097,37.0,Female,PhD,Part-Time,45304.0,2664.0,3172.0,26474.0,180,598.0,0.109,0.5844,52.72,1,2023-01-05
APP00098,37.0,Male,Bachelor,Employed,102795.0,5619.75,15596.0,28279.0,120,642.0,0.1792,0.2751,77.42,1,2023-01-05
APP00099,35.0,Female,Master,Employed,76971.0,3850.0,14701.0,16180.0,120,536.0,0.212,0.2102,60.42,1,2023-01-05
APP00100,32.0,Female,Bachelor,Self-Employed,48328.0,2681.0,7103.0,94053.25,12,703.0,2.1702,2.0232,48.58,0,2023-01-05
APP00101,21.0,Female,Bachelor,Self-Employed,53745.0,1470.0,5826.0,48265.0,84,436.0,0.2367,0.898,42.98,0,2023-01-05
APP00102,30.0,Male,PhD,Unemployed,14531.0,702.0,777.0,55106.0,240,746.0,0.2431,3.7923,61.77,1,2023-01-05
APP00103,31.0,Male,Master,Self-Employed,54066.0,3053.0,8372.0,24769.0,12,723.0,0.613,0.4581,57.0,1,2023-01-05
APP00104,26.0,Male,Master,Employed,123635.375,5619.75,20325.5,40497.0,48,659.0,0.4288,0.281,75.98,1,2023-01-05
APP00105,33.0,Male,Associate,Employed,48321.0,2403.0,50.0,13140.0,24,596.0,0.137,0.2719,61.23,1,2023-01-05
APP00106,39.0,Male,Bachelor,Employed,51398.0,3210.0,1108.0,45844.0,84,,0.149,0.8919,64.05,1,2023-01-05
APP00107,53.0,Female,Associate,Employed,50595.0,1682.0,968.0,22844.0,24,472.0,0.2449,0.4515,54.18,1,2023-01-05
APP00108,36.0,Male,Bachelor,Self-Employed,123635.375,5619.75,20325.5,11877.0,60,732.0,0.3949,0.0496,80.59,1,2023-01-05
APP00109,37.0,Female,Bachelor,Employed,27837.0,1496.0,4538.0,26417.0,120,633.0,0.2579,0.949,48.07,0,2023-01-05
APP00110,34.0,Male,Master,Retired,25059.0,1485.0,11397.0,21297.0,36,801.0,0.7381,0.8499,55.16,1,2023-01-05
APP00111,21.0,Female,Master,Part-Time,15977.0,965.0,2095.0,94053.25,120,689.0,1.2111,10.8,32.25,0,2023-01-05
APP00112,34.0,Male,Bachelor,Part-Time,21819.0,1128.0,2027.0,38113.0,24,673.0,0.9663,1.7468,31.7,0,2023-01-05
APP00113,35.0,Male,High School,Part-Time,19398.0,1158.0,4573.0,94053.25,36,690.0,1.8717,4.9079,24.92,0,2023-01-05
APP00114,59.0,Female,Master,Employed,50498.0,2736.0,1329.0,66504.0,48,552.0,0.3556,1.317,43.29,0,2023-01-05
APP00115,33.0,Female,High School,Part-Time,13099.0,375.0,943.0,27728.0,180,604.0,0.2131,2.1168,45.51,0,2023-01-05
APP00116,38.0,Other,Bachelor,Employed,52638.0,2987.0,4957.0,18864.0,180,663.0,0.1181,0.3584,68.16,1,2023-01-05
APP00117,34.0,Male,High School,Employed,26696.0,866.0,1419.0,6686.0,36,619.0,0.1366,0.2504,58.47,1,2023-01-05
APP00118,23.0,Male,Bachelor,Unemployed,11448.0,399.0,796.0,13403.0,24,592.0,0.6549,1.1708,4.25,0,2023-01-05
APP00119,46.0,Female,PhD,Employed,123635.375,5319.0,1565.0,45715.0,180,621.0,0.0359,0.3562,83.35,1,2023-01-05
APP00120,42.0,Male,High School,Retired,28883.0,1100.0,955.0,21126.0,120,654.0,0.1062,0.7314,59.15,1,2023-01-05
APP00121,42.0,Female,Bachelor,Self-Employed,83768.0,3216.0,5135.0,36339.0,36,850.0,0.2059,0.4338,88.73,1,2023-01-06
APP00122,25.0,Male,Associate,Unemployed,14342.0,459.0,3418.0,5301.0,84,617.0,0.2911,0.3696,36.98,0,2023-01-06
APP00123,49.0,Male,Master,Employed,73407.0,2734.0,2218.0,38669.0,240,582.0,0.0566,0.5268,63.73,1,2023-01-06
APP00124,21.0,Male,Master,Self-Employed,64754.0,1671.0,4134.0,64678.0,24,634.0,0.5633,0.9988,44.34,0,2023-01-06
APP00125,40.0,Male,Associate,Employed,28320.0,1266.0,285.0,6498.0,24,800.0,0.1248,0.2294,90.54,1,2023-01-06
APP00126,56.0,Female,High School,Part-Time,14109.0,804.0,1723.0,36215.0,48,807.0,0.7638,2.5668,39.51,0,2023-01-06
APP00127,25.0,Female,Bachelor,Employed,37727.0,2298.0,5346.0,78812.0,120,844.0,0.3506,2.089,59.25,1,2023-01-06
APP00128,29.0,Male,Associate,Self-Employed,66080.0,3910.0,19886.0,94053.25,36,656.0,0.8213,1.5612,44.07,0,2023-01-06
APP00129,35.0,Female,Bachelor,Employed,58301.0,2469.0,14953.0,17983.0,180,714.0,0.277,0.3085,70.95,1,2023-01-06
APP00130,29.0,Male,High School,Employed,48615.0,2694.0,2450.0,50208.0,120,544.0,0.1537,1.0328,59.84,1,2023-01-06
APP00131,21.0,Male,High School,Employed,19209.0,710.0,424.0,84442.0,84,614.0,0.6501,4.396,28.12,0,2023-01-06
APP00132,35.0,Male,Bachelor,Employed,100295.0,2739.0,2553.0,37090.0,24,538.0,0.2104,0.3698,65.14,1,2023-01-06
APP00133,24.0,Female,Associate,Unemployed,6731.0,357.0,3506.0,75211.0,246,697.0,0.8933,11.1738,24.16,0,2023-01-06
APP00134,39.0,Female,Master,Employed,36766.0,1913.0,6168.0,26142.0,60,653.0,0.31,0.711,67.04,1,2023-01-06
APP00135,25.0,Female,High School,Employed,27548.0,1608.0,179.0,36880.0,60,672.0,0.2742,1.3388,61.82,1,2023-01-06
APP00136,50.0,Female,Associate,Self-Employed,123635.375,5619.75,,16361.0,246,565.0,0.0255,0.1031,68.4,1,2023-01-06
APP00137,27.0,Female,PhD,Employed,60573.0,1910.0,6043.0,23583.0,180,735.0,0.1257,0.3893,90.93,1,2023-01-06
APP00138,31.0,Female,Bachelor,Employed,41666.0,2522.0,1456.0,38062.0,60,409.0,0.2176,0.9135,54.55,1,2023-01-06
APP00139,43.0,Female,Master,Part-Time,28945.0,1480.0,7067.0,15408.0,60,624.0,0.3506,0.5323,48.23,0,2023-01-06
APP00140,22.0,Female,High School,Employed,31857.0,1868.0,4068.0,22496.0,24,639.0,0.4808,0.7062,37.18,0,2023-01-06
APP00141,37.0,Male,Bachelor,Employed,33165.0,1898.0,4717.0,49449.0,240,447.0,0.2168,1.491,44.63,0,2023-01-06
APP00142,48.0,Male,Master,Employed,68457.0,2561.0,6381.0,94053.25,180,688.0,0.2286,2.0301,73.11,1,2023-01-06
APP00143,21.0,Male,Associate,Employed,71344.0,2005.0,3165.0,5221.0,48,632.0,0.0627,0.0732,74.42,1,2023-01-06
APP00144,36.0,Male,Master,Self-Employed,82028.0,2653.0,10952.0,94053.25,120,706.0,0.2929,1.5943,75.29,1,2023-01-06
APP00145,37.0,Female,Bachelor,Employed,28125.0,811.0,5324.0,21853.0,120,849.0,0.267,0.777,76.39,1,2023-01-07
APP00146,42.0,Male,Bachelor,Unemployed,8253.0,290.0,573.0,58216.0,36,682.0,2.4207,7.0539,24.62,0,2023-01-07
APP00147,22.0,Female,Bachelor,Employed,37206.0,1642.0,3923.0,68109.0,84,747.0,0.367,1.8306,59.26,1,2023-01-07
APP00148,21.0,Male,Bachelor,Employed,50335.0,3160.0,13821.0,94051.0,48,788.0,0.7417,1.8685,61.04,1,2023-01-07
APP00149,40.0,Male,High School,Employed,66739.0,4093.0,1611.0,15027.0,180,699.0,0.0391,0.2252,79.68,1,2023-01-07
APP00150,37.0,Male,Bachelor,Self-Employed,50054.0,2750.0,5916.0,22466.0,36,563.0,0.2678,0.4488,54.26,1,2023-01-07
APP00151,37.0,Female,Associate,Retired,23922.0,622.0,1537.0,25774.0,120,485.0,0.172,1.0774,34.9,0,2023-01-07
APP00152,38.0,Male,Bachelor,Self-Employed,123635.375,5144.0,20325.5,20212.0,48,687.0,0.2205,0.1541,77.01,1,2023-01-07
APP00153,28.0,Male,Master,Retired,59257.0,3166.0,168.0,77265.0,12,609.0,1.3067,1.3039,46.41,0,2023-01-07
APP00154,37.0,Female,Bachelor,Employed,65319.0,1984.0,10876.0,25299.0,24,778.0,0.3602,0.3873,81.57,1,2023-01-07
APP00155,37.0,Female,PhD,Employed,123635.375,5619.75,3188.0,7369.0,120,602.0,0.0201,0.0376,84.1,1,2023-01-07
APP00156,27.0,Male,Associate,Employed,53230.0,3359.0,534.0,16213.0,36,648.0,0.1116,0.3046,68.26,1,2023-01-07
APP00157,53.0,Male,Bachelor,Employed,18155.0,721.0,3511.0,7610.0,120,534.0,0.2353,0.4192,44.53,0,2023-01-07
APP00158,39.0,Male,Master,Employed,96635.0,5257.0,14822.0,22411.0,60,615.0,0.1998,0.2319,72.99,1,2023-01-07
APP00159,23.0,Female,Bachelor,Employed,22114.0,689.0,7474.0,46075.0,120,555.0,0.5463,2.0835,33.63,0,2023-01-07
APP00160,41.0,Male,Bachelor,Employed,61451.0,3305.0,6758.0,15937.0,60,564.0,0.1618,0.2593,59.28,1,2023-01-07
APP00161,25.0,Male,High School,Employed,14566.0,377.0,1649.0,19488.0,48,644.0,0.4477,1.3379,27.95,0,2023-01-07
APP00162,42.0,Male,Bachelor,Employed,38815.0,1214.0,7147.0,21594.0,36,589.0,0.3696,0.5563,37.83,0,2023-01-07
APP00163,46.0,Male,Associate,Employed,34737.0,1895.0,2035.0,30109.0,48,850.0,0.2753,0.8668,67.21,1,2023-01-07
APP00164,26.0,Female,PhD,Part-Time,25015.0,1367.0,141.0,40654.0,120,733.0,0.1682,1.6252,70.24,1,2023-01-07
APP00165,44.0,Male,Associate,Employed,34998.0,1809.0,1372.0,51318.0,120,758.0,0.1858,1.4663,74.46,1,2023-01-07
APP00166,39.0,Male,Master,Unemployed,21358.0,958.0,870.0,94053.25,36,638.0,2.5921,7.654,24.4,0,2023-01-07
APP00167,43.0,Male,Bachelor,Self-Employed,37734.0,2004.0,2314.0,29696.0,120,660.0,0.14,0.787,61.09,1,2023-01-07
APP00168,53.0,Male,Associate,Employed,54723.0,3132.0,20325.5,48466.0,36,607.0,0.7261,0.8857,41.72,0,2023-01-07
APP00169,32.0,Male,Bachelor,Employed,30247.0,1974.0,7413.0,7554.0,36,850.0,0.3283,0.2497,83.83,1,2023-01-08
APP00170,27.0,Female,Master,Employed,57966.0,3595.0,20325.5,19863.0,84,639.0,0.4612,0.3427,51.51,1,2023-01-08
APP00171,26.0,Female,Master,Self-Employed,82420.0,4789.0,20325.5,21669.0,48,589.0,0.8657,0.2629,27.66,0,2023-01-08
APP00172,26.0,Female,High School,Employed,20848.0,1124.0,1778.0,11922.0,120,574.0,0.1425,0.5719,52.61,1,2023-01-08
APP00173,34.0,Female,Associate,Employed,21625.0,1057.0,835.0,17521.0,246,683.0,0.0656,0.8102,66.1,1,2023-01-08
APP00174,38.0,Female,Associate,Employed,53285.0,1599.0,6561.0,24686.0,36,792.0,0.2776,0.4633,86.02,1,2023-01-08
APP00175,37.0,Male,High School,Part-Time,30083.0,959.0,9610.0,17966.0,84,758.0,0.4048,0.5972,69.15,1,2023-01-08
APP00176,43.0,Female,Bachelor,Employed,47120.0,2788.0,4430.0,94053.25,240,574.0,0.3229,4.5768,57.97,1,2023-01-08
APP00177,35.0,Female,Master,Self-Employed,55771.0,3261.0,5889.0,40530.0,36,571.0,0.3478,0.7267,47.09,0,2023-01-08
APP00178,49.0,Female,Bachelor,Employed,52988.0,2681.0,1147.0,94053.25,60,774.0,0.525,2.5168,72.27,1,2023-01-08
APP00179,32.0,Male,Master,Part-Time,32759.0,1417.0,2680.0,88798.0,24,850.0,1.4371,2.7106,46.48,0,2023-01-08
APP00180,60.5,Male,Bachelor,Self-Employed,60886.0,1588.0,4469.0,16132.0,120,635.0,0.0999,0.265,66.69,1,2023-01-08
APP00181,41.0,Female,Bachelor,Employed,13847.0,534.0,900.0,27723.0,120,770.0,0.2652,2.0021,73.48,1,2023-01-08
APP00182,26.0,Female,High School,Retired,12063.0,512.0,3950.0,18998.0,120,503.0,0.4849,1.5749,20.05,0,2023-01-08
APP00183,24.0,Other,Master,Unemployed,8352.0,377.0,76.0,23636.0,84,565.0,0.4134,2.83,17.45,0,2023-01-08
APP00184,39.0,Male,Master,Employed,68720.0,4378.0,20325.5,12318.0,120,549.0,0.555,0.1792,33.03,0,2023-01-08
APP00185,32.0,Male,Bachelor,Employed,53795.0,1588.0,66.0,18897.0,12,691.0,0.3525,0.3513,58.75,1,2023-01-08
APP00186,42.0,Male,High School,Unemployed,9433.0,439.0,4119.0,35868.0,246,632.0,0.5634,3.8024,12.89,0,2023-01-08
APP00187,39.0,Female,Associate,Part-Time,23697.0,955.0,2822.0,35119.0,36,673.0,0.6131,1.482,28.87,0,2023-01-08
APP00188,34.0,Male,High School,Self-Employed,19697.0,1305.0,3581.0,32949.0,24,771.0,1.0182,1.6728,56.25,1,2023-01-08
APP00189,26.0,Male,Bachelor,Self-Employed,111169.0,5619.75,3454.0,25649.0,240,584.0,0.0426,0.2307,65.12,1,2023-01-08
APP00190,21.0,Other,Master,Self-Employed,123635.375,5619.75,20325.5,53561.0,180,659.0,0.1863,0.4045,81.98,1,2023-01-08
APP00191,30.0,Male,High School,Employed,18292.0,1219.0,5862.0,21902.0,120,516.0,0.4402,1.1974,32.09,0,2023-01-08
APP00192,43.0,Female,Master,Self-Employed,82787.0,3842.0,1865.0,81898.0,24,766.0,0.5172,0.9893,65.04,1,2023-01-08
APP00193,37.0,Male,Bachelor,Employed,36398.0,1163.0,742.0,6135.0,180,759.0,0.0316,0.1686,84.98,1,2023-01-09
APP00194,22.0,Female,Bachelor,Retired,31527.0,1518.0,1713.0,45499.0,84,686.0,0.2605,1.4432,67.04,1,2023-01-09
APP00195,36.0,Female,PhD,Unemployed,24901.0,857.0,658.0,39763.0,120,661.0,0.1861,1.5968,56.12,1,2023-01-09
APP00196,38.0,Female,High School,Self-Employed,109500.0,5619.75,,15683.0,246,599.0,0.0224,0.1432,64.57,1,2023-01-09
APP00197,26.0,Female,Master,Employed,92781.0,5619.75,15784.0,20248.0,36,510.0,0.2429,0.2182,66.2,1,2023-01-09
APP00198,36.0,Male,High School,Employed,39766.0,2296.0,1435.0,39020.0,84,680.0,0.1763,0.9812,68.8,1,2023-01-09
